Row ID,Order ID,Order Date,Ship Mode,Segment,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2016-152156,2016-11-08,Second Class,Consumer,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.91
2,CA-2016-152156,2016-11-08,Second Class,Consumer,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.58
3,CA-2016-138688,2016-06-12,Second Class,Corporate,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.87
4,US-2015-108966,2015-10-11,Standard Class,Consumer,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03
5,US-2015-108966,2015-10-11,Standard Class,Consumer,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52
6,CA-2014-115812,2014-06-09,Standard Class,Consumer,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.17
7,CA-2014-115812,2014-06-09,Standard Class,Consumer,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.97
8,CA-2014-115812,2014-06-09,Standard Class,Consumer,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6,0.2,90.72
9,CA-2014-115812,2014-06-09,Standard Class,Consumer,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,3,0.2,5.78
10,CA-2014-115812,2014-06-09,Standard Class,Consumer,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,5,0,34.47
11,CA-2014-115812,2014-06-09,Standard Class,Consumer,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,85.31
12,CA-2014-115812,2014-06-09,Standard Class,Consumer,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4,0.2,68.36
13,CA-2017-114412,2017-04-15,Standard Class,Consumer,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3,0.2,5.44
14,CA-2016-161389,2016-12-05,Standard Class,Consumer,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,0.2,132.59
15,US-2015-118983,2015-11-22,Standard Class,Home Office,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.86
16,US-2015-118983,2015-11-22,Standard Class,Home Office,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3,0.8,-3.82
17,CA-2014-105893,2014-11-11,Standard Class,Consumer,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.32
18,CA-2014-167164,2014-05-13,Second Class,Consumer,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.50,2,0,9.99
19,CA-2014-143336,2014-08-27,Second Class,Consumer,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.48
20,CA-2014-143336,2014-08-27,Second Class,Consumer,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01
21,CA-2014-143336,2014-08-27,Second Class,Consumer,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.38
22,CA-2016-137330,2016-12-09,Standard Class,Corporate,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.06
23,CA-2016-137330,2016-12-09,Standard Class,Corporate,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.69
24,US-2017-156909,2017-07-16,Second Class,Consumer,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,2,0.3,-1.02
25,CA-2015-106320,2015-09-25,Standard Class,Consumer,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.26
26,CA-2016-121755,2016-01-16,Second Class,Consumer,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2,0.2,4.22
